target,source,targ_word,src_word,alternatives,analogy_type
difficulties,impediments to travel,partner,companion,,metaphor
difficulties,impediments to travel,succeeding,arriving,,metaphor
time,money,invest,allocate,,metaphor
time,money,schedule,budget,,metaphor
time,money,efficient,effective,,metaphor
time,money,quick,cheap,,metaphor
time,money,slow,expensive,,metaphor
ideas,seeds,inspired,planted,,metaphor
ideas,seeds,productive,fruitful,,metaphor
ideas,seeds,product,fruit,,metaphor
ideas,seeds,develop,grow,,metaphor
ideas,seeds,fail,wither,,metaphor
ideas,seeds,succeed,blossom,,metaphor
mind,machine,thinking,working,,metaphor
mind,machine,awake,turned on,,metaphor
mind,machine,asleep,turned off,,metaphor
mind,machine,confused,broken,,metaphor
mind,machine,intelligence,power,,metaphor
mind,machine,therapy,repair,,metaphor
idea,object,understand,hold,,metaphor
idea,object,analyze,weigh,,metaphor
idea,object,important,heavy,,metaphor
idea,object,trivial,light,,metaphor
understanding,following,understand,follow,,metaphor
understanding,following,speaker,leader,,metaphor
understanding,following,argument,path,,metaphor
understanding,following,listener,follower,,metaphor
understanding,following,misunderstood,lost,,metaphor
understanding,following,digresses,wanders,,metaphor
understanding,following,complicated,twisted,,metaphor
understanding,following,simple,straight,,metaphor
understanding,seeing,knowledge,light,,metaphor
understanding,seeing,explaining,illuminating,,metaphor
understanding,seeing,confusion,darkness,,metaphor
understanding,seeing,interpretation,view,,metaphor
understanding,seeing,secret,hidden,,metaphor
life,theatre,world,stage,,metaphor
life,theatre,people,actors,,metaphor
life,theatre,person,actor,,metaphor
life,theatre,history,script,,metaphor
life,theatre,event,act,,metaphor
life,theatre,age,act,,metaphor
life,theatre,fate,role,script,metaphor
life,theatre,surroundings,decoration,,metaphor
life,theatre,society,stage,,metaphor
innovation,bloom,funding,water,fertiliser,metaphor
innovation,bloom,research,stem,,metaphor
innovation,bloom,laboratory,soil,,metaphor
innovation,bloom,experiment,planting,,metaphor
innovation,bloom,idea,blossom,flower,metaphor
innovation,bloom,conference,greenhouse,,metaphor
innovation,bloom,collaboration,symbiosis,,metaphor
innovation,blossom,funding,water,fertiliser,metaphor
innovation,blossom,research,stem,,metaphor
innovation,blossom,laboratory,soil,,metaphor
innovation,blossom,experiment,planting,,metaphor
innovation,blossom,idea,blossom,flower,metaphor
innovation,blossom,conference,greenhouse,,metaphor
innovation,blossom,collaboration,symbiosis,,metaphor
innovation,flower,funding,water,fertiliser,metaphor
innovation,flower,research,stem,,metaphor
innovation,flower,laboratory,soil,,metaphor
innovation,flower,experiment,planting,,metaphor
innovation,flower,idea,blossom,flower,metaphor
innovation,flower,conference,greenhouse,,metaphor
innovation,flower,collaboration,symbiosis,,metaphor
career,mountain,success,ascent,,metaphor
career,mountain,failure,descent,"fall, abyss",metaphor
career,mountain,work,climb,,metaphor
career,mountain,job,lift,,metaphor
career,mountain,boss,guide,instructor,metaphor
career,mountain,worker,climber,,metaphor
career,hill,success,ascent,,metaphor
career,hill,failure,descent,"fall, abyss",metaphor
career,hill,work,climb,,metaphor
career,hill,job,lift,,metaphor
career,hill,boss,guide,instructor,metaphor
career,hill,worker,climber,,metaphor
career,slope,success,ascent,,metaphor
career,slope,failure,descent,fall,metaphor
career,slope,work,climb,,metaphor
career,slope,worker,climber,,metaphor
society,organism,person,cell,,metaphor
society,organism,citizen,cell,,metaphor
society,organism,organisation,organ,,metaphor
society,organism,people,tissue,,metaphor
society,organism,communication,vein,,metaphor
government,household,parliament,house,,metaphor
government,household,president,father,,metaphor
government,household,politician,servant,,metaphor
government,household,governor,father,,metaphor
government,household,mayor,father,,metaphor
government,household,secretary,housekeeper,,metaphor
poverty,disease,politician,doctor,,metaphor
poverty,disease,benefactor,doctor,,metaphor
poverty,disease,citizen,patient,,metaphor
poverty,disease,state,hospital,,metaphor
poverty,disease,subsidy,medicine,,metaphor
poverty,disease,payment,medicine,,metaphor
poverty,disease,money,cure,,metaphor
education,journey,exam,stop,,metaphor
education,journey,class,station,trip,metaphor
education,journey,lecture,vehicle,,metaphor
education,journey,reading,vehicle,,metaphor
education,journey,textbook,vehicle,,metaphor
education,journey,book,vehicle,,metaphor
education,journey,knowledge,landscape,destination,metaphor
education,journey,skill,destination,,metaphor
education,journey,student,traveller,passenger,metaphor
education,journey,teacher,guide,driver,metaphor
education,journey,professor,driver,,metaphor
education,journey,scholarship,fuel,,metaphor
education,journey,examiner,conductor,,metaphor
idea,food,understanding,eating,"consumption, digestion",metaphor
idea,food,comprehension,digestion,ingestion,metaphor
idea,food,teaching,feeding,,metaphor
idea,food,persuading,feeding,,metaphor
idea,food,theory,food,,metaphor
idea,food,creativity,cooking,,metaphor
theory,building,conjecture,construction,,metaphor
theory,building,idea,construction,"pillar, foundation",metaphor
theory,building,data,foundation,,metaphor
theory,building,evidence,foundation,support,metaphor
theory,building,relation,cement,,metaphor
theory,building,concept,block,,metaphor
family,building,love,foundation,"pillar, cement",metaphor
family,building,understanding,cement,,metaphor
debate,battle,opponent,soldier,"fighter, enemy",metaphor
debate,battle,opinion,ground,,metaphor
debate,battle,stance,ground,,metaphor
debate,battle,argument,weapon,,metaphor
debate,battle,knowledge,weapon,,metaphor
debate,battle,intellect,weapon,,metaphor
debate,battle,topic,battlefield,,metaphor
debate,battle,issue,battlefield,,metaphor
debate,battle,convincing,victorious,,metaphor
debate,battle,argumentation,tactic,,metaphor
money,weapon,person,fighter,,metaphor
money,weapon,businessman,fighter,,metaphor
money,weapon,trade,war,,metaphor
money,weapon,business,war,,metaphor
skill,possession,person,owner,,metaphor
skill,possession,learning,acquisition,,metaphor
skill,possession,education,acquisition,,metaphor
skill,possession,practice,acquisition,,metaphor
competition,race,competitor,racer,,metaphor
competition,race,business,racer,,metaphor
competition,race,market,track,,metaphor
competition,race,success,speed,finish,metaphor
competition,race,failure,setback,lag,metaphor
sport,war,team,army,,metaphor
sport,war,coach,general,,metaphor
sport,war,match,battle,,metaphor
sport,war,game,battle,,metaphor
sport,war,race,battle,,metaphor
sport,war,sportsman,soldier,,metaphor
sport,war,footballer,soldier,,metaphor
sport,war,player,soldier,,metaphor
sport,war,field,frontline,,metaphor
sport,war,ball,weapon,,metaphor
money,liquid,investing,pouring,,metaphor
money,liquid,transfer,flow,,metaphor
money,liquid,income,flux,"influx, inflow",metaphor
money,liquid,profit,flux,"influx, inflow",metaphor
money,liquid,loss,outflow,,metaphor
money,liquid,spending,outflow,,metaphor
money,liquid,bank,container,,metaphor
money,liquid,account,container,container,metaphor
money,liquid,wealth,sea,,metaphor
money,liquid,salary,source,,metaphor
money,liquid,capital,pool,,metaphor
knowledge,liquid,mind,container,,metaphor
knowledge,liquid,memory,container,"glass, cup",metaphor
knowledge,liquid,conversation,river,,metaphor
knowledge,liquid,forgetting,emptiness,desert,metaphor
knowledge,liquid,repository,pool,,metaphor
knowledge,liquid,book,pool,,metaphor
research,hunt,idea,prey,animal,metaphor
research,hunt,information,prey,animal,metaphor
research,hunt,find,slay,,metaphor
research,hunt,laboratory,field,,metaphor
research,hunt,researcher,hunter,,metaphor
research,hunt,instrument,weapon,,metaphor
business,hunt,client,prey,,metaphor
business,hunt,money,prey,,metaphor
business,hunt,profit,prey,,metaphor
business,hunt,market,field,,metaphor
business,hunt,businessman,hunter,,metaphor
business,hunt,product,weapon,,metaphor
marriage,boat,spouse,passenger,"sailor, captain",metaphor
marriage,boat,divorce,shipwreck,,metaphor
marriage,boat,quarrel,storm,,metaphor
marriage,boat,anger,storm,,metaphor
marriage,boat,happiness,sail,wind,metaphor
marriage,boat,love,sail,wind,metaphor
marriage,boat,affair,rock,,metaphor
marriage,boat,problem,rock,,metaphor
marriage,boat,home,anchor,"dock, harbor",metaphor
argument,war,topic,battleground,,metaphor
argument,war,debater,combatant,warrior,metaphor
argument,war,claim,position,,metaphor
argument,war,criticize,attack,,metaphor
argument,war,rhetoric,maneuver,,metaphor
argument,war,retraction,retreat,,metaphor
argument,war,loss,surrender,,metaphor
argument,war,win,victory,,metaphor
nation,ship,nation,ship,,metaphor
nation,ship,president,captain,,metaphor
nation,ship,congress,crew,,metaphor
nation,ship,citizen,passenger,,metaphor
nation,ship,problem,storm,,metaphor
nation,ship,outlook,forecast,,metaphor
nation,family,law,father,rule,metaphor
nation,family,public ,children,,metaphor
nation,family,crime,disobedience,,metaphor
nation,family,imprisonment,punishment,,metaphor
nation,family,aid,nurture,,metaphor
faith,husbandry,pope,herder,,metaphor
faith,husbandry,follower,sheep,,metaphor
faith,husbandry,omniscience,mastery,,metaphor
faith,husbandry,atonement,slaughter,,metaphor
faith,husbandry,congregation,herd,,metaphor
crime,beast,criminal,beast,,metaphor
crime,beast,victim,prey,,metaphor
crime,beast,arrest,capture,,metaphor
crime,beast,jail,cage,,metaphor
crime,beast,investigation,hunt,,metaphor
crime,beast,execution,killing,,metaphor
crime,virus,spree,outbreak,infection,metaphor
crime,virus,spread,epidemic,,metaphor
crime,virus,information,inoculation,,metaphor
crime,virus,education,prevention,,metaphor
crime,virus,poverty,precursor,,metaphor
illness,battle,patient,warrior,,metaphor
illness,battle,disease,enemy,,metaphor
illness,battle,medicine,weapon,,metaphor
illness,battle,health,victory,,metaphor
illness,battle,death,surrender,,metaphor
illness,journey,patient,traveler,,metaphor
illness,journey,virus,vehicle,,metaphor
illness,journey,disease,vehicle,,metaphor
illness,journey,diagnosis,station,,metaphor
illness,journey,remission,station,stop,metaphor
illness,journey,course,path,,metaphor
illness,journey,stage,milestone,,metaphor
illness,journey,death,destination,,metaphor
illness,journey,health,destination,,metaphor
illness,journey,infection,fuel,,metaphor
theory,building,axiom,foundation,,metaphor
theory,building,proposition,framework,,metaphor
theory,building,logic,framework,buttress,metaphor
theory,building,scientist,architect,,metaphor
love,journey,lover,traveler,,metaphor
love,journey,relationship,road,vehicle,metaphor
love,journey,happiness,destination,,metaphor
love,journey,separation,destination,station,metaphor
love,journey,improvement,progress,,metaphor
love,journey,stage,milestone,,metaphor
love,journey,difficulty,obstacle,,metaphor
mind,computer,brain,hardware,,science
mind,computer,neuron,hardware,wire,science
mind,computer,function,software,,science
mind,computer,consciousness,CPU,,science
mind,computer,memory,RAM,,science
mind,computer,input,data,,science
idea,food,curiosity,appetite,hunger,metaphor
idea,food,interestingness,flavor,,metaphor
idea,food,thinking,cooking,,metaphor
idea,food,originality,freshness,,metaphor
idea,food,irrelevance,staleness,,metaphor
idea,food,provocation,seasoning,,metaphor
idea,food,learning,nutrition,,metaphor
ambition,hunger,recognition,food,nourishment,metaphor
ambition,hunger,nourishment,food,,metaphor
ambition,hunger,achievement,satiation,,metaphor
ambition,hunger,complacency,satiation,,metaphor
ambition,hunger,competition,scarcity,,metaphor
ambition,hunger,failure,starvation,,metaphor
politics,courtship,incumbent,suitor,,metaphor
politics,courtship,politician,suitor,,metaphor
politics,courtship,public,woman,,metaphor
politics,courtship,challenger,rival,,metaphor
politics,courtship,campaigning,wooing,,metaphor
code,virus,malware,virus,,science
code,virus,replication,reproduction,,science
code,virus,installation,infection,,science
code,virus,removal,eradication,,science
code,virus,antivirus,vaccine,,science
love,commerce,person,buyer,seller,metaphor
love,commerce,attributes,goods,currency,metaphor
love,commerce,commitment,terms,,metaphor
society,train,citizen,passenger,,metaphor
society,train,people,passengers,,metaphor
society,train,law,tracks,,metaphor
society,train,constitution,tracks,,metaphor
society,train,history,route,itinerary,metaphor
society,train,class,coach,car,metaphor
society,train,leader,driver,,metaphor
society,train,passport,ticket,,metaphor
society,train,future,destination,,metaphor
society,train,budget,fuel,,metaphor
career,journey,education,fuel,,metaphor
career,journey,skill,fuel,,metaphor
career,journey,job,transport,station,metaphor
career,journey,experience,baggage,,metaphor
career,journey,colleague,traveller,,metaphor
career,journey,worker,traveller,,metaphor
career,journey,retirement,destination,arrival,metaphor
career,journey,office,car,coach,metaphor
career,journey,boss,guide ,,metaphor
career,journey,funding,ticket,,metaphor
state,family,president,father,,metaphor
state,family,governor,father,,metaphor
state,family,citizen,child,"brother, relative",metaphor
state,family,law,rule,,metaphor
state,family,government,parent,,metaphor
state,family,subsidies,food,nourishment,metaphor
state,family,nation,home,,metaphor
politics,game,politician,player,,metaphor
politics,game,election,bet,betting,metaphor
politics,game,law,rules,,metaphor
politics,game,parliament,playground,,metaphor
politics,game,press,ball,,metaphor
politics,game,citizen,toy,,metaphor
politics,theatre,politician,actor,,metaphor
politics,theatre,campaign,performance,show,metaphor
politics,theatre,parliament,stage,,metaphor
politics,theatre,press,critic,playbill,metaphor
politics,theatre,people,audience,,metaphor
politics,theatre,citizens,audience,,metaphor
politics,machine,politician,politician,"cog, part",metaphor
politics,machine,law,algorithm,"procedure, instruction",metaphor
politics,machine,president,operator,,metaphor
politics,machine,press,oil,fuel,metaphor
politics,machine,campaign,oil,fuel,metaphor
politics,machine,money,oil,fuel,metaphor
politics,machine,crisis,breakdown,,metaphor
politics,machine,corruption,rust,,metaphor
marriage,game,spouse,player,,metaphor
marriage,game,home,playground,,metaphor
marriage,game,argument,match,,metaphor
marriage,game,divorce,defeat,loss,metaphor
business,war,competitor,enemy,,metaphor
business,war,market,battlefield,,metaphor
business,war,money,weapon,,metaphor
business,war,product,weapon,,metaphor
business,war,lawyer,weapon,soldier,metaphor
business,war,employee,soldier,,metaphor
business,war,income,trophy,,metaphor
business,war,profit,trophy,,metaphor
business,war,client,trophy,,metaphor
business,war,ceo,general,,metaphor
business,war,company,army,,metaphor
business,war,workers,army,,metaphor
crime,disease,criminal,virus,"bacteria, parasite, sick",metaphor
crime,disease,trial,assessment,,metaphor
crime,disease,prison,quarantine,,metaphor
crime,disease,sentence,diagnosis,,metaphor
crime,disease,punishment,surgery,"cure, remedy, medicine",metaphor
crime,disease,society,patient,,metaphor
