stem,answer,choice,prefix,prediction,accuracy
['driver' 'conductor'],7,"[['education', 'exam'], ['education', 'class'], ['education', 'lecture'], ['education', 'knowledge'], ['education', 'skill'], ['education', 'student'], ['education', 'teacher'], ['professor', 'examiner'], ['education', 'professor'], ['education', 'scholarship'], ['education', 'examiner'], ['exam', 'class'], ['exam', 'lecture'], ['exam', 'knowledge'], ['exam', 'skill'], ['exam', 'student'], ['exam', 'teacher'], ['exam', 'professor'], ['exam', 'scholarship'], ['exam', 'examiner'], ['class', 'lecture'], ['class', 'knowledge'], ['class', 'skill'], ['class', 'student'], ['class', 'teacher'], ['class', 'professor'], ['class', 'scholarship'], ['class', 'examiner'], ['lecture', 'knowledge'], ['lecture', 'skill'], ['lecture', 'student'], ['lecture', 'teacher'], ['lecture', 'professor'], ['lecture', 'scholarship'], ['lecture', 'examiner'], ['knowledge', 'skill'], ['knowledge', 'student'], ['knowledge', 'teacher'], ['knowledge', 'professor'], ['knowledge', 'scholarship'], ['knowledge', 'examiner'], ['skill', 'student'], ['skill', 'teacher'], ['skill', 'professor'], ['skill', 'scholarship'], ['skill', 'examiner'], ['student', 'teacher'], ['student', 'professor'], ['student', 'scholarship'], ['student', 'examiner'], ['teacher', 'professor'], ['teacher', 'scholarship'], ['teacher', 'examiner'], ['professor', 'scholarship'], ['scholarship', 'examiner']]",metaphor,46,False
['wooing' 'ball'],16,"[['politics', 'incumbent'], ['politics', 'public'], ['politics', 'challenger'], ['politics', 'campaigning'], ['politics', 'politician'], ['politics', 'election'], ['politics', 'law'], ['politics', 'parliament'], ['politics', 'press'], ['politics', 'citizen'], ['politics', 'campaign'], ['politics', 'people'], ['politics', 'president'], ['politics', 'money'], ['politics', 'crisis'], ['politics', 'corruption'], ['campaigning', 'press'], ['incumbent', 'public'], ['incumbent', 'challenger'], ['incumbent', 'campaigning'], ['incumbent', 'politician'], ['incumbent', 'election'], ['incumbent', 'law'], ['incumbent', 'parliament'], ['incumbent', 'press'], ['incumbent', 'citizen'], ['incumbent', 'campaign'], ['incumbent', 'people'], ['incumbent', 'president'], ['incumbent', 'money'], ['incumbent', 'crisis'], ['incumbent', 'corruption'], ['public', 'challenger'], ['public', 'campaigning'], ['public', 'politician'], ['public', 'election'], ['public', 'law'], ['public', 'parliament'], ['public', 'press'], ['public', 'citizen'], ['public', 'campaign'], ['public', 'people'], ['public', 'president'], ['public', 'money'], ['public', 'crisis'], ['public', 'corruption'], ['challenger', 'campaigning'], ['challenger', 'politician'], ['challenger', 'election'], ['challenger', 'law'], ['challenger', 'parliament'], ['challenger', 'press'], ['challenger', 'citizen'], ['challenger', 'campaign'], ['challenger', 'people'], ['challenger', 'president'], ['challenger', 'money'], ['challenger', 'crisis'], ['challenger', 'corruption'], ['campaigning', 'politician'], ['campaigning', 'election'], ['campaigning', 'law'], ['campaigning', 'parliament'], ['campaigning', 'citizen'], ['campaigning', 'campaign'], ['campaigning', 'people'], ['campaigning', 'president'], ['campaigning', 'money'], ['campaigning', 'crisis'], ['campaigning', 'corruption'], ['politician', 'election'], ['politician', 'law'], ['politician', 'parliament'], ['politician', 'press'], ['politician', 'citizen'], ['politician', 'campaign'], ['politician', 'people'], ['politician', 'president'], ['politician', 'money'], ['politician', 'crisis'], ['politician', 'corruption'], ['election', 'law'], ['election', 'parliament'], ['election', 'press'], ['election', 'citizen'], ['election', 'campaign'], ['election', 'people'], ['election', 'president'], ['election', 'money'], ['election', 'crisis'], ['election', 'corruption'], ['law', 'parliament'], ['law', 'press'], ['law', 'citizen'], ['law', 'campaign'], ['law', 'people'], ['law', 'president'], ['law', 'money'], ['law', 'crisis'], ['law', 'corruption'], ['parliament', 'press'], ['parliament', 'citizen'], ['parliament', 'campaign'], ['parliament', 'people'], ['parliament', 'president'], ['parliament', 'money'], ['parliament', 'crisis'], ['parliament', 'corruption'], ['press', 'citizen'], ['press', 'campaign'], ['press', 'people'], ['press', 'president'], ['press', 'money'], ['press', 'crisis'], ['press', 'corruption'], ['citizen', 'campaign'], ['citizen', 'people'], ['citizen', 'president'], ['citizen', 'money'], ['citizen', 'crisis'], ['citizen', 'corruption'], ['campaign', 'people'], ['campaign', 'president'], ['campaign', 'money'], ['campaign', 'crisis'], ['campaign', 'corruption'], ['people', 'president'], ['people', 'money'], ['people', 'crisis'], ['people', 'corruption'], ['president', 'money'], ['president', 'crisis'], ['president', 'corruption'], ['money', 'crisis'], ['money', 'corruption'], ['crisis', 'corruption']]",metaphor,60,False
['rival' 'ball'],16,"[['politics', 'incumbent'], ['politics', 'public'], ['politics', 'challenger'], ['politics', 'campaigning'], ['politics', 'politician'], ['politics', 'election'], ['politics', 'law'], ['politics', 'parliament'], ['politics', 'press'], ['politics', 'citizen'], ['politics', 'campaign'], ['politics', 'people'], ['politics', 'president'], ['politics', 'money'], ['politics', 'crisis'], ['politics', 'corruption'], ['challenger', 'press'], ['incumbent', 'public'], ['incumbent', 'challenger'], ['incumbent', 'campaigning'], ['incumbent', 'politician'], ['incumbent', 'election'], ['incumbent', 'law'], ['incumbent', 'parliament'], ['incumbent', 'press'], ['incumbent', 'citizen'], ['incumbent', 'campaign'], ['incumbent', 'people'], ['incumbent', 'president'], ['incumbent', 'money'], ['incumbent', 'crisis'], ['incumbent', 'corruption'], ['public', 'challenger'], ['public', 'campaigning'], ['public', 'politician'], ['public', 'election'], ['public', 'law'], ['public', 'parliament'], ['public', 'press'], ['public', 'citizen'], ['public', 'campaign'], ['public', 'people'], ['public', 'president'], ['public', 'money'], ['public', 'crisis'], ['public', 'corruption'], ['challenger', 'campaigning'], ['challenger', 'politician'], ['challenger', 'election'], ['challenger', 'law'], ['challenger', 'parliament'], ['challenger', 'citizen'], ['challenger', 'campaign'], ['challenger', 'people'], ['challenger', 'president'], ['challenger', 'money'], ['challenger', 'crisis'], ['challenger', 'corruption'], ['campaigning', 'politician'], ['campaigning', 'election'], ['campaigning', 'law'], ['campaigning', 'parliament'], ['campaigning', 'press'], ['campaigning', 'citizen'], ['campaigning', 'campaign'], ['campaigning', 'people'], ['campaigning', 'president'], ['campaigning', 'money'], ['campaigning', 'crisis'], ['campaigning', 'corruption'], ['politician', 'election'], ['politician', 'law'], ['politician', 'parliament'], ['politician', 'press'], ['politician', 'citizen'], ['politician', 'campaign'], ['politician', 'people'], ['politician', 'president'], ['politician', 'money'], ['politician', 'crisis'], ['politician', 'corruption'], ['election', 'law'], ['election', 'parliament'], ['election', 'press'], ['election', 'citizen'], ['election', 'campaign'], ['election', 'people'], ['election', 'president'], ['election', 'money'], ['election', 'crisis'], ['election', 'corruption'], ['law', 'parliament'], ['law', 'press'], ['law', 'citizen'], ['law', 'campaign'], ['law', 'people'], ['law', 'president'], ['law', 'money'], ['law', 'crisis'], ['law', 'corruption'], ['parliament', 'press'], ['parliament', 'citizen'], ['parliament', 'campaign'], ['parliament', 'people'], ['parliament', 'president'], ['parliament', 'money'], ['parliament', 'crisis'], ['parliament', 'corruption'], ['press', 'citizen'], ['press', 'campaign'], ['press', 'people'], ['press', 'president'], ['press', 'money'], ['press', 'crisis'], ['press', 'corruption'], ['citizen', 'campaign'], ['citizen', 'people'], ['citizen', 'president'], ['citizen', 'money'], ['citizen', 'crisis'], ['citizen', 'corruption'], ['campaign', 'people'], ['campaign', 'president'], ['campaign', 'money'], ['campaign', 'crisis'], ['campaign', 'corruption'], ['people', 'president'], ['people', 'money'], ['people', 'crisis'], ['people', 'corruption'], ['president', 'money'], ['president', 'crisis'], ['president', 'corruption'], ['money', 'crisis'], ['money', 'corruption'], ['crisis', 'corruption']]",metaphor,13,False
['prey' 'assessment'],11,"[['crime', 'victim'], ['crime', 'arrest'], ['crime', 'jail'], ['crime', 'investigation'], ['crime', 'execution'], ['crime', 'spree'], ['crime', 'spread'], ['crime', 'information'], ['crime', 'education'], ['crime', 'poverty'], ['crime', 'criminal'], ['victim', 'trial'], ['crime', 'trial'], ['crime', 'prison'], ['crime', 'sentence'], ['crime', 'punishment'], ['crime', 'society'], ['victim', 'arrest'], ['victim', 'jail'], ['victim', 'investigation'], ['victim', 'execution'], ['victim', 'spree'], ['victim', 'spread'], ['victim', 'information'], ['victim', 'education'], ['victim', 'poverty'], ['victim', 'criminal'], ['victim', 'prison'], ['victim', 'sentence'], ['victim', 'punishment'], ['victim', 'society'], ['arrest', 'jail'], ['arrest', 'investigation'], ['arrest', 'execution'], ['arrest', 'spree'], ['arrest', 'spread'], ['arrest', 'information'], ['arrest', 'education'], ['arrest', 'poverty'], ['arrest', 'criminal'], ['arrest', 'trial'], ['arrest', 'prison'], ['arrest', 'sentence'], ['arrest', 'punishment'], ['arrest', 'society'], ['jail', 'investigation'], ['jail', 'execution'], ['jail', 'spree'], ['jail', 'spread'], ['jail', 'information'], ['jail', 'education'], ['jail', 'poverty'], ['jail', 'criminal'], ['jail', 'trial'], ['jail', 'prison'], ['jail', 'sentence'], ['jail', 'punishment'], ['jail', 'society'], ['investigation', 'execution'], ['investigation', 'spree'], ['investigation', 'spread'], ['investigation', 'information'], ['investigation', 'education'], ['investigation', 'poverty'], ['investigation', 'criminal'], ['investigation', 'trial'], ['investigation', 'prison'], ['investigation', 'sentence'], ['investigation', 'punishment'], ['investigation', 'society'], ['execution', 'spree'], ['execution', 'spread'], ['execution', 'information'], ['execution', 'education'], ['execution', 'poverty'], ['execution', 'criminal'], ['execution', 'trial'], ['execution', 'prison'], ['execution', 'sentence'], ['execution', 'punishment'], ['execution', 'society'], ['spree', 'spread'], ['spree', 'information'], ['spree', 'education'], ['spree', 'poverty'], ['spree', 'criminal'], ['spree', 'trial'], ['spree', 'prison'], ['spree', 'sentence'], ['spree', 'punishment'], ['spree', 'society'], ['spread', 'information'], ['spread', 'education'], ['spread', 'poverty'], ['spread', 'criminal'], ['spread', 'trial'], ['spread', 'prison'], ['spread', 'sentence'], ['spread', 'punishment'], ['spread', 'society'], ['information', 'education'], ['information', 'poverty'], ['information', 'criminal'], ['information', 'trial'], ['information', 'prison'], ['information', 'sentence'], ['information', 'punishment'], ['information', 'society'], ['education', 'poverty'], ['education', 'criminal'], ['education', 'trial'], ['education', 'prison'], ['education', 'sentence'], ['education', 'punishment'], ['education', 'society'], ['poverty', 'criminal'], ['poverty', 'trial'], ['poverty', 'prison'], ['poverty', 'sentence'], ['poverty', 'punishment'], ['poverty', 'society'], ['criminal', 'trial'], ['criminal', 'prison'], ['criminal', 'sentence'], ['criminal', 'punishment'], ['criminal', 'society'], ['trial', 'prison'], ['trial', 'sentence'], ['trial', 'punishment'], ['trial', 'society'], ['prison', 'sentence'], ['prison', 'punishment'], ['prison', 'society'], ['sentence', 'punishment'], ['sentence', 'society'], ['punishment', 'society']]",metaphor,114,False
['battle' 'victory'],8,"[['illness', 'patient'], ['illness', 'disease'], ['illness', 'medicine'], ['illness', 'death'], ['illness', 'virus'], ['illness', 'diagnosis'], ['illness', 'course'], ['illness', 'stage'], ['illness', 'health'], ['illness', 'infection'], ['patient', 'disease'], ['patient', 'medicine'], ['patient', 'health'], ['patient', 'death'], ['patient', 'virus'], ['patient', 'diagnosis'], ['patient', 'course'], ['patient', 'stage'], ['patient', 'infection'], ['disease', 'medicine'], ['disease', 'health'], ['disease', 'death'], ['disease', 'virus'], ['disease', 'diagnosis'], ['disease', 'course'], ['disease', 'stage'], ['disease', 'infection'], ['medicine', 'health'], ['medicine', 'death'], ['medicine', 'virus'], ['medicine', 'diagnosis'], ['medicine', 'course'], ['medicine', 'stage'], ['medicine', 'infection'], ['health', 'death'], ['health', 'virus'], ['health', 'diagnosis'], ['health', 'course'], ['health', 'stage'], ['health', 'infection'], ['death', 'virus'], ['death', 'diagnosis'], ['death', 'course'], ['death', 'stage'], ['death', 'infection'], ['virus', 'diagnosis'], ['virus', 'course'], ['virus', 'stage'], ['virus', 'infection'], ['diagnosis', 'course'], ['diagnosis', 'stage'], ['diagnosis', 'infection'], ['course', 'stage'], ['course', 'infection'], ['stage', 'infection']]",metaphor,27,False
['hunt' 'hunter'],4,"[['business', 'client'], ['business', 'market'], ['business', 'product'], ['business', 'competitor'], ['business', 'businessman'], ['business', 'employee'], ['business', 'income'], ['business', 'ceo'], ['business', 'company'], ['client', 'market'], ['client', 'businessman'], ['client', 'product'], ['client', 'competitor'], ['client', 'employee'], ['client', 'income'], ['client', 'ceo'], ['client', 'company'], ['market', 'businessman'], ['market', 'product'], ['market', 'competitor'], ['market', 'employee'], ['market', 'income'], ['market', 'ceo'], ['market', 'company'], ['businessman', 'product'], ['businessman', 'competitor'], ['businessman', 'employee'], ['businessman', 'income'], ['businessman', 'ceo'], ['businessman', 'company'], ['product', 'competitor'], ['product', 'employee'], ['product', 'income'], ['product', 'ceo'], ['product', 'company'], ['competitor', 'employee'], ['competitor', 'income'], ['competitor', 'ceo'], ['competitor', 'company'], ['employee', 'income'], ['employee', 'ceo'], ['employee', 'company'], ['income', 'ceo'], ['income', 'company'], ['ceo', 'company']]",metaphor,4,True
['bloom' 'symbiosis'],5,"[['innovation', 'funding'], ['innovation', 'research'], ['innovation', 'laboratory'], ['innovation', 'experiment'], ['innovation', 'idea'], ['innovation', 'collaboration'], ['innovation', 'conference'], ['funding', 'research'], ['funding', 'laboratory'], ['funding', 'experiment'], ['funding', 'idea'], ['funding', 'conference'], ['funding', 'collaboration'], ['research', 'laboratory'], ['research', 'experiment'], ['research', 'idea'], ['research', 'conference'], ['research', 'collaboration'], ['laboratory', 'experiment'], ['laboratory', 'idea'], ['laboratory', 'conference'], ['laboratory', 'collaboration'], ['experiment', 'idea'], ['experiment', 'conference'], ['experiment', 'collaboration'], ['idea', 'conference'], ['idea', 'collaboration'], ['conference', 'collaboration']]",metaphor,5,True
['planted' 'fruitful'],5,"[['ideas', 'inspired'], ['ideas', 'productive'], ['ideas', 'product'], ['ideas', 'develop'], ['ideas', 'fail'], ['inspired', 'productive'], ['ideas', 'succeed'], ['inspired', 'product'], ['inspired', 'develop'], ['inspired', 'fail'], ['inspired', 'succeed'], ['productive', 'product'], ['productive', 'develop'], ['productive', 'fail'], ['productive', 'succeed'], ['product', 'develop'], ['product', 'fail'], ['product', 'succeed'], ['develop', 'fail'], ['develop', 'succeed'], ['fail', 'succeed']]",metaphor,11,False
['path' 'hidden'],9,"[['understanding', 'understand'], ['understanding', 'speaker'], ['understanding', 'argument'], ['understanding', 'listener'], ['understanding', 'misunderstood'], ['understanding', 'digresses'], ['understanding', 'complicated'], ['understanding', 'simple'], ['understanding', 'knowledge'], ['argument', 'secret'], ['understanding', 'explaining'], ['understanding', 'confusion'], ['understanding', 'interpretation'], ['understanding', 'secret'], ['understand', 'speaker'], ['understand', 'argument'], ['understand', 'listener'], ['understand', 'misunderstood'], ['understand', 'digresses'], ['understand', 'complicated'], ['understand', 'simple'], ['understand', 'knowledge'], ['understand', 'explaining'], ['understand', 'confusion'], ['understand', 'interpretation'], ['understand', 'secret'], ['speaker', 'argument'], ['speaker', 'listener'], ['speaker', 'misunderstood'], ['speaker', 'digresses'], ['speaker', 'complicated'], ['speaker', 'simple'], ['speaker', 'knowledge'], ['speaker', 'explaining'], ['speaker', 'confusion'], ['speaker', 'interpretation'], ['speaker', 'secret'], ['argument', 'listener'], ['argument', 'misunderstood'], ['argument', 'digresses'], ['argument', 'complicated'], ['argument', 'simple'], ['argument', 'knowledge'], ['argument', 'explaining'], ['argument', 'confusion'], ['argument', 'interpretation'], ['listener', 'misunderstood'], ['listener', 'digresses'], ['listener', 'complicated'], ['listener', 'simple'], ['listener', 'knowledge'], ['listener', 'explaining'], ['listener', 'confusion'], ['listener', 'interpretation'], ['listener', 'secret'], ['misunderstood', 'digresses'], ['misunderstood', 'complicated'], ['misunderstood', 'simple'], ['misunderstood', 'knowledge'], ['misunderstood', 'explaining'], ['misunderstood', 'confusion'], ['misunderstood', 'interpretation'], ['misunderstood', 'secret'], ['digresses', 'complicated'], ['digresses', 'simple'], ['digresses', 'knowledge'], ['digresses', 'explaining'], ['digresses', 'confusion'], ['digresses', 'interpretation'], ['digresses', 'secret'], ['complicated', 'simple'], ['complicated', 'knowledge'], ['complicated', 'explaining'], ['complicated', 'confusion'], ['complicated', 'interpretation'], ['complicated', 'secret'], ['simple', 'knowledge'], ['simple', 'explaining'], ['simple', 'confusion'], ['simple', 'interpretation'], ['simple', 'secret'], ['knowledge', 'explaining'], ['knowledge', 'confusion'], ['knowledge', 'interpretation'], ['knowledge', 'secret'], ['explaining', 'confusion'], ['explaining', 'interpretation'], ['explaining', 'secret'], ['confusion', 'interpretation'], ['confusion', 'secret'], ['interpretation', 'secret']]",metaphor,84,False
['herder' 'sheep'],1,"[['faith', 'pope'], ['pope', 'follower'], ['faith', 'follower'], ['faith', 'omniscience'], ['faith', 'atonement'], ['faith', 'congregation'], ['pope', 'omniscience'], ['pope', 'atonement'], ['pope', 'congregation'], ['follower', 'omniscience'], ['follower', 'atonement'], ['follower', 'congregation'], ['omniscience', 'atonement'], ['omniscience', 'congregation'], ['atonement', 'congregation']]",metaphor,12,False
['station' 'landscape'],1,"[['education', 'exam'], ['class', 'knowledge'], ['education', 'class'], ['education', 'lecture'], ['education', 'knowledge'], ['education', 'skill'], ['education', 'student'], ['education', 'teacher'], ['education', 'professor'], ['education', 'scholarship'], ['education', 'examiner'], ['exam', 'class'], ['exam', 'lecture'], ['exam', 'knowledge'], ['exam', 'skill'], ['exam', 'student'], ['exam', 'teacher'], ['exam', 'professor'], ['exam', 'scholarship'], ['exam', 'examiner'], ['class', 'lecture'], ['class', 'skill'], ['class', 'student'], ['class', 'teacher'], ['class', 'professor'], ['class', 'scholarship'], ['class', 'examiner'], ['lecture', 'knowledge'], ['lecture', 'skill'], ['lecture', 'student'], ['lecture', 'teacher'], ['lecture', 'professor'], ['lecture', 'scholarship'], ['lecture', 'examiner'], ['knowledge', 'skill'], ['knowledge', 'student'], ['knowledge', 'teacher'], ['knowledge', 'professor'], ['knowledge', 'scholarship'], ['knowledge', 'examiner'], ['skill', 'student'], ['skill', 'teacher'], ['skill', 'professor'], ['skill', 'scholarship'], ['skill', 'examiner'], ['student', 'teacher'], ['student', 'professor'], ['student', 'scholarship'], ['student', 'examiner'], ['teacher', 'professor'], ['teacher', 'scholarship'], ['teacher', 'examiner'], ['professor', 'scholarship'], ['professor', 'examiner'], ['scholarship', 'examiner']]",metaphor,4,False
['captain' 'passenger'],8,"[['nation', 'president'], ['nation', 'congress'], ['nation', 'citizen'], ['nation', 'problem'], ['nation', 'outlook'], ['nation', 'law'], ['nation', 'public '], ['nation', 'crime'], ['president', 'citizen'], ['nation', 'imprisonment'], ['nation', 'aid'], ['president', 'congress'], ['president', 'problem'], ['president', 'outlook'], ['president', 'law'], ['president', 'public '], ['president', 'crime'], ['president', 'imprisonment'], ['president', 'aid'], ['congress', 'citizen'], ['congress', 'problem'], ['congress', 'outlook'], ['congress', 'law'], ['congress', 'public '], ['congress', 'crime'], ['congress', 'imprisonment'], ['congress', 'aid'], ['citizen', 'problem'], ['citizen', 'outlook'], ['citizen', 'law'], ['citizen', 'public '], ['citizen', 'crime'], ['citizen', 'imprisonment'], ['citizen', 'aid'], ['problem', 'outlook'], ['problem', 'law'], ['problem', 'public '], ['problem', 'crime'], ['problem', 'imprisonment'], ['problem', 'aid'], ['outlook', 'law'], ['outlook', 'public '], ['outlook', 'crime'], ['outlook', 'imprisonment'], ['outlook', 'aid'], ['law', 'public '], ['law', 'crime'], ['law', 'imprisonment'], ['law', 'aid'], ['public ', 'crime'], ['public ', 'imprisonment'], ['public ', 'aid'], ['crime', 'imprisonment'], ['crime', 'aid'], ['imprisonment', 'aid']]",metaphor,8,True
['performance' 'breakdown'],0,"[['campaign', 'crisis'], ['politics', 'incumbent'], ['politics', 'public'], ['politics', 'challenger'], ['politics', 'campaigning'], ['politics', 'politician'], ['politics', 'election'], ['politics', 'law'], ['politics', 'parliament'], ['politics', 'press'], ['politics', 'citizen'], ['politics', 'campaign'], ['politics', 'people'], ['politics', 'president'], ['politics', 'money'], ['politics', 'crisis'], ['politics', 'corruption'], ['incumbent', 'public'], ['incumbent', 'challenger'], ['incumbent', 'campaigning'], ['incumbent', 'politician'], ['incumbent', 'election'], ['incumbent', 'law'], ['incumbent', 'parliament'], ['incumbent', 'press'], ['incumbent', 'citizen'], ['incumbent', 'campaign'], ['incumbent', 'people'], ['incumbent', 'president'], ['incumbent', 'money'], ['incumbent', 'crisis'], ['incumbent', 'corruption'], ['public', 'challenger'], ['public', 'campaigning'], ['public', 'politician'], ['public', 'election'], ['public', 'law'], ['public', 'parliament'], ['public', 'press'], ['public', 'citizen'], ['public', 'campaign'], ['public', 'people'], ['public', 'president'], ['public', 'money'], ['public', 'crisis'], ['public', 'corruption'], ['challenger', 'campaigning'], ['challenger', 'politician'], ['challenger', 'election'], ['challenger', 'law'], ['challenger', 'parliament'], ['challenger', 'press'], ['challenger', 'citizen'], ['challenger', 'campaign'], ['challenger', 'people'], ['challenger', 'president'], ['challenger', 'money'], ['challenger', 'crisis'], ['challenger', 'corruption'], ['campaigning', 'politician'], ['campaigning', 'election'], ['campaigning', 'law'], ['campaigning', 'parliament'], ['campaigning', 'press'], ['campaigning', 'citizen'], ['campaigning', 'campaign'], ['campaigning', 'people'], ['campaigning', 'president'], ['campaigning', 'money'], ['campaigning', 'crisis'], ['campaigning', 'corruption'], ['politician', 'election'], ['politician', 'law'], ['politician', 'parliament'], ['politician', 'press'], ['politician', 'citizen'], ['politician', 'campaign'], ['politician', 'people'], ['politician', 'president'], ['politician', 'money'], ['politician', 'crisis'], ['politician', 'corruption'], ['election', 'law'], ['election', 'parliament'], ['election', 'press'], ['election', 'citizen'], ['election', 'campaign'], ['election', 'people'], ['election', 'president'], ['election', 'money'], ['election', 'crisis'], ['election', 'corruption'], ['law', 'parliament'], ['law', 'press'], ['law', 'citizen'], ['law', 'campaign'], ['law', 'people'], ['law', 'president'], ['law', 'money'], ['law', 'crisis'], ['law', 'corruption'], ['parliament', 'press'], ['parliament', 'citizen'], ['parliament', 'campaign'], ['parliament', 'people'], ['parliament', 'president'], ['parliament', 'money'], ['parliament', 'crisis'], ['parliament', 'corruption'], ['press', 'citizen'], ['press', 'campaign'], ['press', 'people'], ['press', 'president'], ['press', 'money'], ['press', 'crisis'], ['press', 'corruption'], ['citizen', 'campaign'], ['citizen', 'people'], ['citizen', 'president'], ['citizen', 'money'], ['citizen', 'crisis'], ['citizen', 'corruption'], ['campaign', 'people'], ['campaign', 'president'], ['campaign', 'money'], ['campaign', 'corruption'], ['people', 'president'], ['people', 'money'], ['people', 'crisis'], ['people', 'corruption'], ['president', 'money'], ['president', 'crisis'], ['president', 'corruption'], ['money', 'crisis'], ['money', 'corruption'], ['crisis', 'corruption']]",metaphor,12,False
['feeding' 'seasoning'],15,"[['idea', 'understand'], ['idea', 'analyze'], ['idea', 'important'], ['idea', 'trivial'], ['idea', 'understanding'], ['idea', 'comprehension'], ['idea', 'teaching'], ['idea', 'theory'], ['idea', 'creativity'], ['idea', 'curiosity'], ['idea', 'interestingness'], ['idea', 'originality'], ['idea', 'irrelevance'], ['idea', 'provocation'], ['idea', 'learning'], ['teaching', 'provocation'], ['understand', 'analyze'], ['understand', 'important'], ['understand', 'trivial'], ['understand', 'understanding'], ['understand', 'comprehension'], ['understand', 'teaching'], ['understand', 'theory'], ['understand', 'creativity'], ['understand', 'curiosity'], ['understand', 'interestingness'], ['understand', 'originality'], ['understand', 'irrelevance'], ['understand', 'provocation'], ['understand', 'learning'], ['analyze', 'important'], ['analyze', 'trivial'], ['analyze', 'understanding'], ['analyze', 'comprehension'], ['analyze', 'teaching'], ['analyze', 'theory'], ['analyze', 'creativity'], ['analyze', 'curiosity'], ['analyze', 'interestingness'], ['analyze', 'originality'], ['analyze', 'irrelevance'], ['analyze', 'provocation'], ['analyze', 'learning'], ['important', 'trivial'], ['important', 'understanding'], ['important', 'comprehension'], ['important', 'teaching'], ['important', 'theory'], ['important', 'creativity'], ['important', 'curiosity'], ['important', 'interestingness'], ['important', 'originality'], ['important', 'irrelevance'], ['important', 'provocation'], ['important', 'learning'], ['trivial', 'understanding'], ['trivial', 'comprehension'], ['trivial', 'teaching'], ['trivial', 'theory'], ['trivial', 'creativity'], ['trivial', 'curiosity'], ['trivial', 'interestingness'], ['trivial', 'originality'], ['trivial', 'irrelevance'], ['trivial', 'provocation'], ['trivial', 'learning'], ['understanding', 'comprehension'], ['understanding', 'teaching'], ['understanding', 'theory'], ['understanding', 'creativity'], ['understanding', 'curiosity'], ['understanding', 'interestingness'], ['understanding', 'originality'], ['understanding', 'irrelevance'], ['understanding', 'provocation'], ['understanding', 'learning'], ['comprehension', 'teaching'], ['comprehension', 'theory'], ['comprehension', 'creativity'], ['comprehension', 'curiosity'], ['comprehension', 'interestingness'], ['comprehension', 'originality'], ['comprehension', 'irrelevance'], ['comprehension', 'provocation'], ['comprehension', 'learning'], ['teaching', 'theory'], ['teaching', 'creativity'], ['teaching', 'curiosity'], ['teaching', 'interestingness'], ['teaching', 'originality'], ['teaching', 'irrelevance'], ['teaching', 'learning'], ['theory', 'creativity'], ['theory', 'curiosity'], ['theory', 'interestingness'], ['theory', 'originality'], ['theory', 'irrelevance'], ['theory', 'provocation'], ['theory', 'learning'], ['creativity', 'curiosity'], ['creativity', 'interestingness'], ['creativity', 'originality'], ['creativity', 'irrelevance'], ['creativity', 'provocation'], ['creativity', 'learning'], ['curiosity', 'interestingness'], ['curiosity', 'originality'], ['curiosity', 'irrelevance'], ['curiosity', 'provocation'], ['curiosity', 'learning'], ['interestingness', 'originality'], ['interestingness', 'irrelevance'], ['interestingness', 'provocation'], ['interestingness', 'learning'], ['originality', 'irrelevance'], ['originality', 'provocation'], ['originality', 'learning'], ['irrelevance', 'provocation'], ['irrelevance', 'learning'], ['provocation', 'learning']]",metaphor,101,False
['disobedience' 'punishment'],3,"[['nation', 'president'], ['nation', 'congress'], ['nation', 'citizen'], ['crime', 'imprisonment'], ['nation', 'problem'], ['nation', 'outlook'], ['nation', 'law'], ['nation', 'public '], ['nation', 'crime'], ['nation', 'imprisonment'], ['nation', 'aid'], ['president', 'congress'], ['president', 'citizen'], ['president', 'problem'], ['president', 'outlook'], ['president', 'law'], ['president', 'public '], ['president', 'crime'], ['president', 'imprisonment'], ['president', 'aid'], ['congress', 'citizen'], ['congress', 'problem'], ['congress', 'outlook'], ['congress', 'law'], ['congress', 'public '], ['congress', 'crime'], ['congress', 'imprisonment'], ['congress', 'aid'], ['citizen', 'problem'], ['citizen', 'outlook'], ['citizen', 'law'], ['citizen', 'public '], ['citizen', 'crime'], ['citizen', 'imprisonment'], ['citizen', 'aid'], ['problem', 'outlook'], ['problem', 'law'], ['problem', 'public '], ['problem', 'crime'], ['problem', 'imprisonment'], ['problem', 'aid'], ['outlook', 'law'], ['outlook', 'public '], ['outlook', 'crime'], ['outlook', 'imprisonment'], ['outlook', 'aid'], ['law', 'public '], ['law', 'crime'], ['law', 'imprisonment'], ['law', 'aid'], ['public ', 'crime'], ['public ', 'imprisonment'], ['public ', 'aid'], ['crime', 'aid'], ['imprisonment', 'aid']]",metaphor,47,False
